name	state	chipset	max_memory_capacity	memory_slot	processor_slot	note	memory_types	processor_families	socket	compatible	url
Huananzhi X99 BD3	published	X99	32	4	1		DDR3 ECC 1333,DDR3 ECC 1600,DDR3 ECC 1866	Intel E5 v3	LGA2011-v3		
Huananzhi X99 BD4	published	X99	32	4	1		DDR4 ECC 1866,DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
Huananzhi X99 T8	published	X99	32	8	1		DDR3 ECC 1333,DDR3 ECC 1600,DDR3 ECC 1866	Intel E5 v3	LGA2011-v3		
Huananzhi X99 F8	published	X99	32	8	1		DDR4 ECC 1866,DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
Huananzhi X99 TF	published	X99	32	4	1	Có 8 khe nhưng chỉ dùng được 4 DDR3 hoặc 4 DDR4	DDR3 ECC 1333,DDR3 ECC 1600,DDR3 ECC 1866,DDR4 ECC 1866,DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
Huananzhi X99 T8D	published	X99	32	8	2		DDR3 ECC 1333,DDR3 ECC 1600,DDR3 ECC 1866	Intel E5 v3	LGA2011-v3		
Huananzhi X99 F8D	published	X99	32	8	2		DDR4 ECC 1866,DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
Supermicro X10DRL-i	published	C612	64	8	2		DDR4 ECC 1600,DDR4 ECC 1866,DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
Dell T5810	published	C612	32	8	1		DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
HP Prodesk 600 G1 Mini	published	Q85	16	2	1		DDR 3 1066, DDR3 1333, DDR3 1600	Intel 4th	LGA 1150	i7-4765T, i5-4570T, i3-4130T, G3220T, G3420T, G1820T	https://support.hp.com/vn-en/product/hp-prodesk-600-g1-desktop-mini-pc/6595197/document/c04240180#AbT8
HP Prodesk 800 G1 Mini	published	Q87	16	2	1		DDR 3 1066, DDR3 1333, DDR3 1600	Intel 4th	LGA 1150	i5, i7	https://support.hp.com/in-en/document/c03832938
Huananzhi X99 8M-F	published	X99	32	2	1			Intel E5 v3,Intel E5 v4	LGA2011-v3		
Huananzhi X99 8M-T	published	X99	32	2	1			Intel E5 v3,Intel E5 v4	LGA2011-v3		
HP Prodesk Gen 2 Mini	published		16	2	1		DDR4 SODIMM 2133,DDR4 SODIMM 2400	Intel 6th,Intel 7th	LGA 1151		
HP Prodesk 600 Gen 3 Mini	published	Q270	16	2	1		DDR4 SODIMM 2133,DDR4 SODIMM 2400	Intel 6th,Intel 7th	LGA 1151		
HP Prodesk Gen 4 Mini											
HP Prodesk Gen 5 Mini											
HP Workstation Z240 SFF	published	C236	16	4	1		DDR4 ECC 1866,DDR4 ECC 2133,DDR4 1866,DDR4 2133	Intel E3 v5,Intel 6th,Intel 7th	LGA 1151		
HP Workstation Z240 MT											
HP Workstation Z440	published	C612	32	8	1		DDR4 ECC 1866,DDR4 ECC 2133,DDR4 ECC 2400	Intel E5 v3,Intel E5 v4	LGA2011-v3		
Lenovo P500	published	C612	32	8	1		DDR4 ECC 1866,DDR4 ECC 2133	Intel E5 v3,Intel E5 v4	LGA2011-v3		
HP EliteDesk 800 G3 Mini	published	Q270	16	2	1		DDR4 SODIMM 2133,DDR4 SODIMM 2400	Intel 6th,Intel 7th	LGA 1151		
Dell OptiPlex 3050 Micro	published	B250	16	2	1		DDR4 SODIMM 2133,DDR4 SODIMM 2400	Intel 6th,Intel 7th	LGA 1151		